,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
359,-0.296,Thu Dec 21 09:28:38 +0000 2017,0.645,0.355,0.0,60,@Fox
360,0.3612,Sat Dec 23 11:22:48 +0000 2017,0.545,0.0,0.455,61,@Fox
361,0.0,Sat Dec 23 07:50:56 +0000 2017,1.0,0.0,0.0,62,@Fox
362,0.7073,Sat Dec 23 07:28:18 +0000 2017,0.787,0.0,0.213,63,@Fox
363,-0.7783,Sat Dec 23 06:30:57 +0000 2017,0.702,0.298,0.0,64,@Fox
364,0.0258,Sat Dec 23 06:26:12 +0000 2017,0.948,0.0,0.052,65,@Fox
365,-0.4939,Sat Dec 23 06:24:25 +0000 2017,0.572,0.262,0.166,66,@Fox
366,0.7178,Sat Dec 23 06:04:30 +0000 2017,0.647,0.0,0.353,67,@Fox
367,0.6697,Sat Dec 23 03:02:54 +0000 2017,0.609,0.11,0.281,68,@Fox
368,-0.3919,Sat Dec 23 01:37:29 +0000 2017,0.575,0.267,0.158,69,@Fox
369,0.0,Sat Dec 23 01:35:57 +0000 2017,1.0,0.0,0.0,70,@Fox
370,0.0,Sat Dec 23 01:35:46 +0000 2017,1.0,0.0,0.0,71,@Fox
371,0.8074,Sat Dec 23 01:34:57 +0000 2017,0.659,0.08,0.261,72,@Fox
372,0.0,Sat Dec 23 01:34:08 +0000 2017,1.0,0.0,0.0,73,@Fox
373,0.5994,Sat Dec 23 01:31:48 +0000 2017,0.62,0.0,0.38,74,@Fox
374,-0.5622,Fri Dec 22 23:48:59 +0000 2017,0.718,0.195,0.087,75,@Fox
375,0.0,Fri Dec 22 23:45:59 +0000 2017,1.0,0.0,0.0,76,@Fox
376,-0.296,Fri Dec 22 21:31:51 +0000 2017,0.891,0.109,0.0,77,@Fox
377,0.0,Fri Dec 22 08:31:09 +0000 2017,1.0,0.0,0.0,78,@Fox
378,0.0,Fri Dec 22 00:02:10 +0000 2017,1.0,0.0,0.0,79,@Fox
379,-0.296,Thu Dec 21 09:28:38 +0000 2017,0.645,0.355,0.0,80,@Fox
380,0.3612,Sat Dec 23 11:22:48 +0000 2017,0.545,0.0,0.455,81,@Fox
381,0.0,Sat Dec 23 07:50:56 +0000 2017,1.0,0.0,0.0,82,@Fox
382,0.7073,Sat Dec 23 07:28:18 +0000 2017,0.787,0.0,0.213,83,@Fox
383,-0.7783,Sat Dec 23 06:30:57 +0000 2017,0.702,0.298,0.0,84,@Fox
384,0.0258,Sat Dec 23 06:26:12 +0000 2017,0.948,0.0,0.052,85,@Fox
385,-0.4939,Sat Dec 23 06:24:25 +0000 2017,0.572,0.262,0.166,86,@Fox
386,0.7178,Sat Dec 23 06:04:30 +0000 2017,0.647,0.0,0.353,87,@Fox
387,0.6697,Sat Dec 23 03:02:54 +0000 2017,0.609,0.11,0.281,88,@Fox
388,-0.3919,Sat Dec 23 01:37:29 +0000 2017,0.575,0.267,0.158,89,@Fox
389,0.0,Sat Dec 23 01:35:57 +0000 2017,1.0,0.0,0.0,90,@Fox
390,0.0,Sat Dec 23 01:35:46 +0000 2017,1.0,0.0,0.0,91,@Fox
391,0.8074,Sat Dec 23 01:34:57 +0000 2017,0.659,0.08,0.261,92,@Fox
392,0.0,Sat Dec 23 01:34:08 +0000 2017,1.0,0.0,0.0,93,@Fox
393,0.5994,Sat Dec 23 01:31:48 +0000 2017,0.62,0.0,0.38,94,@Fox
394,-0.5622,Fri Dec 22 23:48:59 +0000 2017,0.718,0.195,0.087,95,@Fox
395,0.0,Fri Dec 22 23:45:59 +0000 2017,1.0,0.0,0.0,96,@Fox
396,-0.296,Fri Dec 22 21:31:51 +0000 2017,0.891,0.109,0.0,97,@Fox
397,0.0,Fri Dec 22 08:31:09 +0000 2017,1.0,0.0,0.0,98,@Fox
398,0.0,Fri Dec 22 00:02:10 +0000 2017,1.0,0.0,0.0,99,@Fox
399,-0.296,Thu Dec 21 09:28:38 +0000 2017,0.645,0.355,0.0,100,@Fox
